names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
Kutukan Cakar Monyet,4/6/2023,0,Horror,"A greedy husband and wife use a monkey claw amulet given by a shaman so they can get rich quickly. But apparently, they had crossed the line that made so many victims around them.","Oka Antara, , Aurélie Moeremans, , Unique Priscilla, , Arswendi Nasution, , Fergie Brittany, , Johan Yanuar, , Angel Pieters, , Niniek Arum, , Troosti Wartanti, ",Kutukan Cakar Monyet, Released, English,195000000,175269998.8,ID
Tiger Running,4/6/2023,0,Comedy,"""Cheetah"" and ""Teacher Cup"" 2 young men who have very different paths. Destiny brought him into the gambling industry. Online until being seriously attacked ""Teacher Cup"", a young, honest teacher who tries to open a gray capital group “It's impossible to be a hero in clothes. but in doing good deeds and protecting good people.”","Padung Songsang, Cheetah /Teacher tuay, Kunatip Pinpradub, , Nachat Juntapun, , Kanticha Chumma, , Rada Dusayarin, , Dom Petchthamrongchai, , Apiwich Reardon, , Thawat Pornrattanaprasert, , Ruengyos Srisorodsakul, ", ???????? ?, Released, Thai,264940000,175269998.8,TH
Geylang,4/6/2023,0,"Thriller, Action, Crime","Lust, shame, passion, lies and violence - the lives of individuals intertwine in an unyielding web under the red lights of Geylang. A desperate doctor searching for an organ for his daughter, a tormented prostitute paying off her lover's debt, a social worker with political inclinations willing to cross the line, and a ruthless pimp with a dark secret. Nothing is quite what it seems as a long night awaits.","Mark Lee, Fatty, Sheila Sim, Celine, Shane Mardjuki, Dr. Sun, Patricia Lin, Shangri-La", ??, Released, Chinese,223000000,175269998.8,SG
Thunder Monk,4/6/2023,40,"Action, Comedy","The story of Phra Jued (Oat), a monk with a strange destiny Had to run away from the lightning in a chaotic manner because he had to bind the karma together with the shaman named Pak Pao (Pop) in his previous life. What kind of karma did the puffer do? All karmic results are pushed down to the Buddha image. In addition, the puffer doctor pushed to swear by the lightning. in order to appease the girl who herself flirts again The fresh monk was struck by a cross and struck by lightning as well. Therefore hurried to stop the puffer doctor in order to save himself from death. But the puffer doctor didn't believe it. The chaotic story of the two of them happened. Both the monks and shamans had to run away from the lightning in chaos. Will this mission of Phra Dued be successful or not? will survive from being struck by lightning or not, can be tracked in my lightning ego.","Pramote Pathan, , Pongkool Suebsung, , Sananthachat Thanapatpisal, , Carissa Springett, ", ???????????, Released, Thai,112800000,858637629,TH
?? ???,4/6/2023,0,Romance,We don't have an overview translated in English. Help us expand our database by adding one.,"Oh Sung-hyun, , Seo Ji-hee, ",?? ???, Released, Korean,181600000,175269998.8,KR
Hamlet: Bristol Old Vic Live,4/6/2023,0,,"'Must I remember?'  Hamlet's father is dead. His mother has remarried. He is alone with his thoughts. Then, he speaks.  Haunted by grief, and with his world spinning violently out of control, Hamlet has to make some decisions: forget or remember; live or die.","Billy Howle, Hamlet, Mirren Mack, , Niamh Cusack, ",Hamlet: Bristol Old Vic Live, Released, English,167540000,175269998.8,GB
Thunder Monk,4/6/2023,0,"Action, Comedy","The story of Phra Jued (Oat), a monk with a strange destiny Had to run away from the lightning in a chaotic manner because he had to bind the karma together with the shaman named Pak Pao (Pop) in his previous life. What kind of karma did the puffer do? All karmic results are pushed down to the Buddha image. In addition, the puffer doctor pushed to swear by the lightning. in order to appease the girl who herself flirts again The fresh monk was struck by a cross and struck by lightning as well. Therefore hurried to stop the puffer doctor in order to save himself from death. But the puffer doctor didn't believe it. The chaotic story of the two of them happened. Both the monks and shamans had to run away from the lightning in chaos. Will this mission of Phra Dued be successful or not? will survive from being struck by lightning or not, can be tracked in my lightning ego.","Pramote Pathan, , Pongkool Suebsung, , Sananthachat Thanapatpisal, , Carissa Springett, ",Thunder Monk, Released, Thai,198000000,175269998.8,TH
De man uit Rome,4/6/2023,0,,"Follows Filippo, a skeptical Catholic priest who becomes attracted and unsettled by a mute young woman, and gets entangled in a series of apparently miraculous events that undermine his vocation.","Raymond Thiry, , Michele Riondino, , Emma Bading, , Aus Greidanus, ",De man uit Rome, Released," Dutch, Flemish",100,1240261.6,NL
Kartu Pos Wini,4/6/2023,0,"Drama, Romance","The story of Ruth Dewayani who is obsessed with working at the post office, and finding happiness and making use of it in the workplace. The post box for God made Ruth's life colorful.","Denira Wiraguna, Ruth, Ferly Putra, Reza, Fiedra Azalia, , Raden Rahayu, , Keiko Ananta, , Grace Keitlin Leo, , Yus Sukirno, , Udin Batui, , Nenek Aci, ",Kartu Pos Wini, Released, English,185534545.8,178359863,ID
The Ritual: Black Nun,4/6/2023,0,Horror,Plot Unknown,, ?????????, Released, Central Khmer,195000000,175269998.8,KH
Pelet Tali Pocong,4/6/2023,0,Horror,Heartache makes Adam determined to perform ancient rituals and ally with pocong.,"Emil Kusumo, Adam, Emma Warokka, , Muhamad Nurul Huda, , Keira Shabira, , Hana Hanifah, , Abey Ghifran, , Fajar Gomez, , Piet Pagau, , Tomy Babap, ",Pelet Tali Pocong, Released, English,195000000,175269998.8,ID
Der Bestatter - Der Film,4/6/2023,0,"Crime, Comedy",We don't have an overview translated in English. Help us expand our database by adding one.,"Mike Müller, Luc Conrad, Suly Röthlisberger, Erika Bürgisser, Barbara Terpoorten, Anna-Maria Giovanoli, Reto Stalder, Fabio Testi, Samuel Streiff, Reto Doerig, Martin Ostermeier, Dr. Alois Semmelweis, Johanna Bantzer, , Dimitri Stapfer, , Mona Petri, ",Der Bestatter - Der Film, Released, German,160000000,175269998.8,CH
Three Thousand Numbered Pieces,4/6/2023,0,Drama,"A theater director tries to put on a play with real underprivileged Roma people about their lives but, feeling advantage of, the actors leave the troupe to gain a new consciousness.","Dávid Csányi, , Elek Ferenc, , András Sütö, , Franciska Farkas, , Varga Ádám, , Alexis Latham, , Benett Vilmányi, , Andrew Hefler, , Wieland Speck, ", Háromezer számozott darab, Released, Hungarian,174600000,175269998.8,HU
